CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-4-1,49,42,35,40,35,23,89,72,54,29.83,29.72,29.61,10,9,2,26,9,33,0.08,7,Rain,303
2016-4-2,40,34,27,30,24,11,75,57,39,30.04,29.68,29.49,10,6,0,43,18,54,0.02,6,Fog-Snow,287
2016-4-3,71,49,26,42,28,15,70,50,29,30.05,29.81,29.52,10,10,10,35,17,46,T,4,,224
2016-4-4,38,34,29,29,24,19,75,69,63,30.42,30.15,29.81,10,10,5,24,13,30,T,8,Snow,14
2016-4-5,45,35,24,33,21,11,81,54,27,30.49,30.33,30.00,10,10,6,23,11,28,0.02,4,Rain,127
2016-4-6,50,45,40,46,41,31,93,82,70,29.91,29.60,29.50,10,7,2,23,10,27,0.31,8,Rain-Thunderstorm,254
2016-4-7,41,37,33,38,31,23,85,70,54,29.88,29.67,29.53,10,9,2,23,14,30,0.06,8,Rain-Snow,325
2016-4-8,41,34,26,35,27,16,82,68,54,30.02,29.86,29.77,10,6,0,32,14,40,0.10,7,Fog-Rain-Snow,310
2016-4-9,38,30,22,18,14,8,74,52,29,30.29,30.20,30.06,10,10,10,22,12,27,T,2,,27
2016-4-10,50,42,33,49,36,19,100,78,56,30.12,29.84,29.73,10,7,2,25,15,37,0.10,8,Rain-Snow,196
2016-4-11,51,44,36,49,34,20,100,66,31,30.16,29.90,29.74,10,8,4,24,12,35,0.00,5,,289
2016-4-12,47,39,30,26,22,18,69,52,34,30.39,30.33,30.19,10,10,10,15,8,19,0.00,1,,45
2016-4-13,56,45,34,33,29,25,70,53,35,30.36,30.31,30.25,10,10,10,17,7,21,0.00,5,,98
2016-4-14,61,49,37,33,28,25,79,53,27,30.32,30.25,30.18,10,10,10,16,8,19,0.00,1,,102
2016-4-15,68,55,42,37,33,27,65,48,31,30.25,30.22,30.19,10,10,10,14,8,16,0.00,1,,85
2016-4-16,76,59,41,44,40,35,76,54,31,30.32,30.28,30.23,10,10,7,15,7,19,0.00,0,,54
2016-4-17,79,62,45,43,39,36,76,50,24,30.41,30.35,30.31,10,10,10,18,5,21,0.00,1,,77
2016-4-18,83,66,49,44,40,37,74,48,21,30.32,30.26,30.18,10,10,10,15,5,18,0.00,5,,111
2016-4-19,57,52,46,45,42,39,76,71,66,30.25,30.21,30.17,10,10,10,21,12,24,0.00,8,,37
2016-4-20,71,61,51,56,46,36,93,66,38,30.17,30.03,29.93,10,9,4,18,10,23,0.48,7,Rain,145
2016-4-21,70,60,50,58,53,43,100,69,37,29.89,29.83,29.76,10,7,2,30,7,36,0.01,7,Rain,227
2016-4-22,54,48,41,49,41,34,93,77,61,30.17,30.01,29.84,10,8,2,25,12,30,T,5,,16
2016-4-23,60,49,38,43,38,34,86,69,51,30.22,30.14,30.06,10,10,10,13,7,21,0.00,3,,52
2016-4-24,78,60,41,53,46,36,86,63,40,30.05,29.93,29.80,10,10,10,18,9,24,0.00,5,,157
2016-4-25,83,71,58,61,54,50,77,58,39,29.81,29.67,29.56,10,10,8,25,13,35,0.08,5,Rain-Hail-Thunderstorm,215
2016-4-26,68,55,42,55,42,38,100,84,68,29.94,29.84,29.66,10,6,1,23,14,29,0.00,8,,40
2016-4-27,49,45,41,43,39,34,89,80,70,29.98,29.89,29.81,10,8,3,23,14,28,0.47,8,Rain,55
2016-4-28,50,46,42,42,41,39,100,87,74,30.02,29.89,29.80,10,7,2,22,11,28,0.45,8,Rain-Thunderstorm,45
2016-4-29,51,46,41,42,39,37,100,83,66,30.15,30.09,30.01,10,8,3,17,9,22,0.01,8,Rain,19
2016-4-30,48,46,43,45,42,37,100,86,71,30.11,29.99,29.91,10,5,2,23,13,30,0.61,8,Rain,64
